ID;Data;Produto;Quantidade;Vendedor;Origem;País;Método_Transporte;Data_Entrega;Total
18960;19/01/2023;limão;380;Vendedor 6;Fazenda Luz da Lua;Brasil;Avião;16/02/2023;1585
18961;28/02/2023;banana;504;Vendedor 1;Recanto Verde;Brasil;Caminhão;04/04/2023;1486
18962;10/08/2023;limão;780;Vendedor 17;Fazenda Luz da Lua;Brasil;Caminhão;06/09/2023;0
18963;05/03/2023;banana;648;Vendedor 1;Recanto Verde;Brasil;Caminhão;11/03/2023;0
18964;30/07/2023;banana;102;Vendedor 18;Quinta dos Pinhais;Brasil;Caminhão;23/08/2023;206
18965;22/08/2022;limão;558;Vendedor 29;Fazenda Luz da Lua;Brasil;Caminhão;16/09/2022;1765
18966;04/02/2022;manga;181;Vendedor 30;Rancho Estrela Cadente;Brasil;Avião;26/02/2022;2569
18967;04/12/2022;manga;271;Vendedor 26;Fazenda Sol Nascente;Brasil;Avião;15/12/2022;1354
18968;04/08/2022;limão;24;Vendedor 32;Fazenda Luz da Lua;Brasil;Avião;04/09/2022;2719
18969;16/05/2022;limão;904;Vendedor 23;Fazenda Luz da Lua;Brasil;Trem;20/06/2022;2409
18970;24/08/2023;maçã;978;Vendedor 4;Chácara Bela Vista;Brasil;Caminhão;20/09/2023;1933
18971;16/09/2023;limão;27;Vendedor 9;Fazenda Luz da Lua;Brasil;Avião;23/09/2023;2690
18972;16/12/2022;banana;441;Vendedor 5;Recanto Verde;Brasil;Avião;10/01/2023;0
18973;25/02/2023;limão;315;Vendedor 17;Fazenda Luz da Lua;Brasil;Avião;14/03/2023;4023
18974;13/10/2023;limão;691;Vendedor 39;Fazenda Luz da Lua;Brasil;Trem;16/11/2023;2214
18975;04/08/2023;manga;613;Vendedor 46;Fazenda Sol Nascente;Brasil;Avião;03/09/2023;3358
18976;02/11/2023;maçã;616;Vendedor 36;Terra Prometida;Brasil;Avião;03/12/2023;0
18977;28/12/2022;banana;27;Vendedor 1;Recanto Verde;Brasil;Avião;20/01/2023;2318
18978;01/01/2023;banana;410;Vendedor 2;Quinta dos Pinhais;Brasil;Caminhão;21/01/2023;2833
18979;19/10/2023;maçã;691;Vendedor 10;Chácara Bela Vista;Brasil;Caminhão;02/11/2023;897
18980;12/05/2022;limão;702;Vendedor 9;Fazenda Luz da Lua;Brasil;Avião;23/05/2022;67
18981;02/11/2022;maçã;758;Vendedor 38;Terra Prometida;Brasil;Avião;09/11/2022;2110
18982;01/08/2023;banana;36;Vendedor 20;Quinta dos Pinhais;Brasil;Caminhão;12/08/2023;1624
18983;13/06/2023;manga;679;Vendedor 29;Rancho Estrela Cadente;Brasil;Caminhão;27/06/2023;2522
18984;04/11/2023;laranja;710;Vendedor 45;Quinta dos Pinhais;Brasil;Caminhão;01/12/2023;1701
18985;05/10/2022;limão;303;Vendedor 24;Fazenda Luz da Lua;Brasil;Avião;01/11/2022;0
18986;18/06/2022;limão;184;Vendedor 11;Fazenda Luz da Lua;Brasil;Avião;11/07/2022;0
18987;18/09/2022;banana;11;Vendedor 31;Recanto Verde;Brasil;Avião;06/10/2022;3338
18988;03/02/2023;uva;141;Vendedor 46;Sítio Águas Claras;Brasil;Avião;06/03/2023;189
18989;12/01/2022;manga;328;Vendedor 14;Fazenda Sol Nascente;Brasil;Avião;01/02/2022;2051
18990;25/04/2022;limão;110;Vendedor 45;Fazenda Luz da Lua;Brasil;Caminhão;20/05/2022;3543
18991;07/05/2023;maçã;987;Vendedor 38;Chácara Bela Vista;Brasil;Trem;01/06/2023;2854
18992;29/10/2022;manga;904;Vendedor 49;Fazenda Sol Nascente;Brasil;Barco;29/11/2022;1560
18993;17/01/2022;banana;99;Vendedor 39;Recanto Verde;Brasil;Avião;29/01/2022;2822
18994;11/01/2022;laranja;146;Vendedor 14;Recanto Verde;Brasil;Caminhão;02/02/2022;1451
18995;06/04/2022;limão;334;Vendedor 1;Fazenda Luz da Lua;Brasil;Caminhão;06/05/2022;259
18996;01/04/2022;banana;497;Vendedor 46;Quinta dos Pinhais;Brasil;Trem;06/05/2022;2854
18997;19/09/2023;limão;599;Vendedor 8;Fazenda Luz da Lua;Brasil;Avião;06/10/2023;1842
18998;20/08/2022;limão;50;Vendedor 32;Fazenda Luz da Lua;Brasil;Avião;21/09/2022;1549
18999;17/04/2023;limão;543;Vendedor 16;Fazenda Luz da Lua;Brasil;Avião;05/05/2023;2610
19000;27/10/2023;banana;439;Vendedor 1;Quinta dos Pinhais;Brasil;Caminhão;12/11/2023;223
19001;21/03/2023;melancia;291;Vendedor 6;Fazenda Campo Sereno;Brasil;Caminhão;27/03/2023;0
19002;04/09/2022;banana;732;Vendedor 21;Quinta dos Pinhais;Brasil;Avião;02/10/2022;0
19003;06/11/2023;limão;995;Vendedor 20;Fazenda Luz da Lua;Brasil;Avião;29/11/2023;0
19004;22/04/2022;manga;731;Vendedor 50;Rancho Estrela Cadente;Brasil;Avião;20/05/2022;0
19005;02/08/2023;limão;860;Vendedor 8;Fazenda Luz da Lua;Brasil;Caminhão;29/08/2023;0
19006;01/12/2023;banana;910;Vendedor 17;Quinta dos Pinhais;Brasil;Avião;17/12/2023;4508
19007;09/05/2023;limão;838;Vendedor 6;Fazenda Luz da Lua;Brasil;Caminhão;30/05/2023;0
19008;14/01/2023;limão;112;Vendedor 29;Fazenda Luz da Lua;Brasil;Caminhão;16/02/2023;2425
19009;07/11/2023;uva;583;Vendedor 20;Refúgio do Vale;Brasil;Caminhão;27/11/2023;1650
19010;27/05/2022;limão;655;Vendedor 4;Fazenda Luz da Lua;Brasil;Caminhão;03/06/2022;1753
19011;22/09/2023;limão;521;Vendedor 12;Fazenda Luz da Lua;Brasil;Avião;07/10/2023;3652
19012;05/09/2023;uva;933;Vendedor 10;Refúgio do Vale;Brasil;Caminhão;27/09/2023;3463
19013;22/01/2023;maçã;746;Vendedor 3;Terra Prometida;Brasil;Avião;29/01/2023;1457
19014;10/07/2023;melancia;314;Vendedor 50;Fazenda Campo Sereno;Brasil;Avião;24/07/2023;2031
19015;18/06/2022;limão;505;Vendedor 32;Fazenda Luz da Lua;Brasil;Caminhão;28/06/2022;900
19016;03/05/2023;banana;245;Vendedor 37;Recanto Verde;Brasil;Trem;24/05/2023;2188
19017;14/10/2022;maçã;280;Vendedor 20;Terra Prometida;Brasil;Barco;09/11/2022;842
19018;12/10/2023;manga;715;Vendedor 44;Rancho Estrela Cadente;Brasil;Avião;28/10/2023;2678
19019;05/04/2022;maçã;974;Vendedor 33;Terra Prometida;Brasil;Caminhão;11/04/2022;0
19020;07/01/2023;uva;494;Vendedor 4;Sítio Águas Claras;Brasil;Barco;11/02/2023;1139
19021;30/10/2023;uva;40;Vendedor 47;Refúgio do Vale;Brasil;Caminhão;11/11/2023;0
19022;07/01/2023;manga;840;Vendedor 5;Rancho Estrela Cadente;Brasil;Avião;05/02/2023;0
19023;14/12/2022;banana;800;Vendedor 38;Recanto Verde;Brasil;Caminhão;03/01/2023;4433
19024;30/05/2022;manga;85;Vendedor 18;Rancho Estrela Cadente;Brasil;Avião;04/06/2022;281
19025;28/10/2023;maçã;737;Vendedor 44;Chácara Bela Vista;Brasil;Barco;16/11/2023;3808
19026;23/03/2023;banana;17;Vendedor 22;Recanto Verde;Brasil;Caminhão;29/03/2023;176
19027;04/06/2023;limão;583;Vendedor 15;Fazenda Luz da Lua;Brasil;Avião;17/06/2023;385
19028;26/10/2023;manga;851;Vendedor 20;Rancho Estrela Cadente;Brasil;Avião;31/10/2023;1376
19029;17/06/2022;maçã;918;Vendedor 4;Terra Prometida;Brasil;Barco;10/07/2022;0
19030;14/04/2023;banana;340;Vendedor 50;Recanto Verde;Brasil;Caminhão;06/05/2023;1228
19031;17/11/2023;uva;374;Vendedor 11;Refúgio do Vale;Brasil;Avião;13/12/2023;643
19032;26/06/2023;uva;592;Vendedor 9;Sítio Águas Claras;Brasil;Barco;17/07/2023;0
19033;24/12/2022;manga;83;Vendedor 17;Rancho Estrela Cadente;Brasil;Caminhão;03/01/2023;2489
19034;18/06/2022;manga;345;Vendedor 25;Fazenda Sol Nascente;Brasil;Trem;07/07/2022;0
19035;20/05/2022;laranja;332;Vendedor 7;Recanto Verde;Brasil;Avião;23/06/2022;2681
19036;10/10/2023;maçã;553;Vendedor 47;Terra Prometida;Brasil;Avião;22/10/2023;1691
19037;05/04/2023;laranja;899;Vendedor 45;Quinta dos Pinhais;Brasil;Caminhão;30/04/2023;1463
19038;08/02/2023;manga;875;Vendedor 25;Fazenda Sol Nascente;Brasil;Caminhão;15/03/2023;0
19039;14/12/2023;limão;353;Vendedor 20;Fazenda Luz da Lua;Brasil;Trem;12/01/2024;768
19040;01/06/2023;limão;821;Vendedor 46;Fazenda Luz da Lua;Brasil;Avião;20/06/2023;0
19041;16/08/2022;banana;988;Vendedor 15;Recanto Verde;Brasil;Caminhão;29/08/2022;0
19042;14/05/2022;uva;966;Vendedor 17;Sítio Águas Claras;Brasil;Avião;02/06/2022;0
19043;13/05/2023;banana;152;Vendedor 3;Recanto Verde;Brasil;Avião;04/06/2023;2705
19044;23/03/2023;laranja;172;Vendedor 9;Recanto Verde;Brasil;Caminhão;27/04/2023;1803
19045;26/10/2023;laranja;255;Vendedor 46;Recanto Verde;Brasil;Caminhão;12/11/2023;1506
19046;22/03/2023;limão;938;Vendedor 47;Fazenda Luz da Lua;Brasil;Avião;31/03/2023;1997
19047;21/06/2023;manga;643;Vendedor 50;Fazenda Sol Nascente;Brasil;Avião;24/07/2023;0
19048;21/01/2023;limão;658;Vendedor 3;Fazenda Luz da Lua;Brasil;Avião;10/02/2023;2351
19049;30/09/2022;uva;295;Vendedor 29;Sítio Águas Claras;Brasil;Caminhão;17/10/2022;2324
19050;29/06/2023;banana;216;Vendedor 45;Recanto Verde;Brasil;Barco;28/07/2023;0
19051;26/01/2022;laranja;310;Vendedor 32;Recanto Verde;Brasil;Avião;15/02/2022;0
19052;02/04/2022;banana;784;Vendedor 9;Recanto Verde;Brasil;Caminhão;19/04/2022;3072
19053;23/08/2022;limão;207;Vendedor 36;Fazenda Luz da Lua;Brasil;Avião;03/09/2022;2548
19054;28/11/2023;banana;998;Vendedor 16;Quinta dos Pinhais;Brasil;Caminhão;20/12/2023;3199
19055;31/01/2023;uva;921;Vendedor 9;Refúgio do Vale;Brasil;Caminhão;05/02/2023;3554
19056;18/05/2023;maçã;639;Vendedor 35;Chácara Bela Vista;Brasil;Caminhão;01/06/2023;1778
19057;14/06/2022;limão;609;Vendedor 3;Fazenda Luz da Lua;Brasil;Avião;08/07/2022;2569
19058;07/07/2022;melancia;541;Vendedor 40;Fazenda Campo Sereno;Brasil;Avião;05/08/2022;3655
19059;01/02/2022;limão;992;Vendedor 24;Fazenda Luz da Lua;Brasil;Avião;10/02/2022;0
19060;11/08/2022;limão;739;Vendedor 7;Fazenda Luz da Lua;Brasil;Avião;26/08/2022;285
19061;21/09/2023;maçã;781;Vendedor 43;Terra Prometida;Brasil;Caminhão;23/10/2023;527
19062;20/03/2023;uva;23;Vendedor 34;Refúgio do Vale;Brasil;Caminhão;01/04/2023;2210
19063;18/06/2022;laranja;945;Vendedor 37;Quinta dos Pinhais;Brasil;Avião;20/07/2022;818
19064;22/11/2023;uva;449;Vendedor 5;Refúgio do Vale;Brasil;Caminhão;29/11/2023;3658
19065;17/07/2023;maçã;35;Vendedor 29;Chácara Bela Vista;Brasil;Caminhão;25/07/2023;4216
19066;03/03/2022;laranja;214;Vendedor 5;Recanto Verde;Brasil;Caminhão;03/04/2022;442
19067;28/03/2022;uva;188;Vendedor 42;Refúgio do Vale;Brasil;Avião;10/04/2022;2861
19068;22/08/2022;limão;113;Vendedor 50;Fazenda Luz da Lua;Brasil;Avião;29/08/2022;1374
19069;07/06/2022;banana;196;Vendedor 19;Recanto Verde;Brasil;Caminhão;27/06/2022;1701
19070;08/12/2023;maçã;824;Vendedor 47;Chácara Bela Vista;Brasil;Avião;09/01/2024;3087
19071;14/04/2023;maçã;277;Vendedor 44;Terra Prometida;Brasil;Caminhão;16/05/2023;0
19072;22/07/2023;limão;62;Vendedor 42;Fazenda Luz da Lua;Brasil;Caminhão;10/08/2023;1153
19073;01/09/2023;limão;726;Vendedor 9;Fazenda Luz da Lua;Brasil;Caminhão;19/09/2023;4003
19074;03/11/2022;maçã;530;Vendedor 1;Terra Prometida;Brasil;Caminhão;21/11/2022;234
19075;24/02/2022;manga;590;Vendedor 16;Rancho Estrela Cadente;Brasil;Caminhão;26/03/2022;1981
19076;18/12/2023;maçã;623;Vendedor 9;Terra Prometida;Brasil;Caminhão;31/12/2023;2726
19077;18/02/2022;uva;474;Vendedor 35;Refúgio do Vale;Brasil;Avião;17/03/2022;2151
19078;21/08/2023;banana;3;Vendedor 41;Quinta dos Pinhais;Brasil;Avião;27/08/2023;2187
19079;28/04/2023;laranja;593;Vendedor 15;Recanto Verde;Brasil;Caminhão;31/05/2023;1401
19080;04/04/2022;limão;330;Vendedor 43;Fazenda Luz da Lua;Brasil;Barco;28/04/2022;3609
19081;02/09/2022;maçã;846;Vendedor 30;Chácara Bela Vista;Brasil;Caminhão;20/09/2022;671
19082;13/09/2023;banana;886;Vendedor 1;Recanto Verde;Brasil;Barco;04/10/2023;0
19083;22/07/2023;manga;426;Vendedor 15;Rancho Estrela Cadente;Brasil;Caminhão;30/07/2023;2929
19084;27/03/2022;limão;287;Vendedor 43;Fazenda Luz da Lua;Brasil;Caminhão;16/04/2022;0
19085;23/04/2023;limão;582;Vendedor 3;Fazenda Luz da Lua;Brasil;Barco;04/05/2023;2895
19086;29/04/2023;laranja;801;Vendedor 5;Quinta dos Pinhais;Brasil;Avião;20/05/2023;1628
19087;19/05/2022;banana;777;Vendedor 46;Recanto Verde;Brasil;Trem;27/05/2022;1694
19088;09/08/2022;banana;859;Vendedor 37;Quinta dos Pinhais;Brasil;Trem;04/09/2022;403
19089;18/02/2022;banana;740;Vendedor 50;Quinta dos Pinhais;Brasil;Avião;27/02/2022;3204
19090;29/09/2022;laranja;836;Vendedor 39;Recanto Verde;Brasil;Avião;26/10/2022;1801
19091;18/07/2022;manga;708;Vendedor 14;Rancho Estrela Cadente;Brasil;Barco;17/08/2022;3357
19092;16/03/2022;banana;160;Vendedor 18;Quinta dos Pinhais;Brasil;Barco;05/04/2022;1958
19093;31/12/2022;limão;875;Vendedor 14;Fazenda Luz da Lua;Brasil;Caminhão;17/01/2023;0
19094;21/01/2022;banana;804;Vendedor 22;Recanto Verde;Brasil;Barco;04/02/2022;1686
19095;26/01/2023;uva;934;Vendedor 48;Sítio Águas Claras;Brasil;Avião;28/02/2023;2414
19096;12/03/2023;manga;390;Vendedor 40;Rancho Estrela Cadente;Brasil;Caminhão;26/03/2023;1392
19097;17/03/2022;maçã;274;Vendedor 33;Chácara Bela Vista;Brasil;Barco;28/03/2022;3537
19098;20/08/2023;limão;69;Vendedor 23;Fazenda Luz da Lua;Brasil;Caminhão;05/09/2023;1337
19099;12/07/2022;banana;288;Vendedor 12;Quinta dos Pinhais;Brasil;Trem;16/08/2022;4502
19100;22/05/2022;banana;220;Vendedor 8;Quinta dos Pinhais;Brasil;Avião;22/06/2022;1638
19101;29/12/2022;maçã;837;Vendedor 4;Terra Prometida;Brasil;Caminhão;11/01/2023;0
19102;23/12/2023;maçã;114;Vendedor 13;Chácara Bela Vista;Brasil;Caminhão;18/01/2024;2258
19103;22/12/2022;uva;36;Vendedor 37;Refúgio do Vale;Brasil;Avião;21/01/2023;386
19104;13/11/2022;banana;908;Vendedor 31;Quinta dos Pinhais;Brasil;Caminhão;28/11/2022;0
19105;16/12/2022;maçã;619;Vendedor 31;Chácara Bela Vista;Brasil;Avião;27/12/2022;1739
19106;21/04/2022;banana;961;Vendedor 27;Recanto Verde;Brasil;Avião;25/05/2022;0
19107;10/12/2023;maçã;417;Vendedor 28;Chácara Bela Vista;Brasil;Caminhão;22/12/2023;2789
19108;07/07/2023;limão;500;Vendedor 29;Fazenda Luz da Lua;Brasil;Barco;24/07/2023;420
19109;28/06/2023;limão;852;Vendedor 1;Fazenda Luz da Lua;Brasil;Avião;12/07/2023;0
19110;25/12/2022;laranja;915;Vendedor 45;Quinta dos Pinhais;Brasil;Avião;14/01/2023;2472
19111;09/01/2023;banana;594;Vendedor 21;Quinta dos Pinhais;Brasil;Caminhão;07/02/2023;1418
19112;01/05/2023;uva;879;Vendedor 33;Sítio Águas Claras;Brasil;Avião;01/06/2023;3705
19113;06/05/2023;uva;732;Vendedor 21;Refúgio do Vale;Brasil;Caminhão;23/05/2023;2105
19114;03/07/2023;banana;683;Vendedor 21;Recanto Verde;Brasil;Caminhão;23/07/2023;0
19115;23/03/2023;laranja;476;Vendedor 4;Quinta dos Pinhais;Brasil;Caminhão;16/04/2023;3494
19116;21/02/2023;manga;575;Vendedor 28;Fazenda Sol Nascente;Brasil;Avião;10/03/2023;2296
19117;20/12/2022;laranja;290;Vendedor 34;Quinta dos Pinhais;Brasil;Avião;17/01/2023;0
19118;20/01/2022;limão;424;Vendedor 36;Fazenda Luz da Lua;Brasil;Caminhão;20/02/2022;0
19119;14/05/2022;limão;643;Vendedor 19;Fazenda Luz da Lua;Brasil;Avião;24/05/2022;0
19120;12/01/2022;maçã;370;Vendedor 25;Terra Prometida;Brasil;Caminhão;05/02/2022;1698
19121;05/09/2023;maçã;328;Vendedor 36;Chácara Bela Vista;Brasil;Avião;05/10/2023;1248
19122;21/08/2022;manga;740;Vendedor 40;Rancho Estrela Cadente;Brasil;Caminhão;27/08/2022;918
19123;25/05/2022;limão;629;Vendedor 46;Fazenda Luz da Lua;Brasil;Caminhão;14/06/2022;979
19124;04/05/2023;banana;300;Vendedor 20;Quinta dos Pinhais;Brasil;Barco;30/05/2023;2189
19125;24/04/2023;maçã;495;Vendedor 42;Terra Prometida;Brasil;Avião;29/04/2023;1616
19126;08/01/2022;maçã;878;Vendedor 42;Chácara Bela Vista;Brasil;Avião;07/02/2022;1163
19127;29/04/2022;banana;610;Vendedor 37;Recanto Verde;Brasil;Avião;08/05/2022;3083
19128;13/06/2023;limão;728;Vendedor 50;Fazenda Luz da Lua;Brasil;Caminhão;01/07/2023;69
19129;17/07/2023;maçã;503;Vendedor 8;Terra Prometida;Brasil;Caminhão;24/07/2023;1963
19130;11/02/2023;banana;19;Vendedor 41;Quinta dos Pinhais;Brasil;Avião;08/03/2023;0
19131;19/12/2022;limão;380;Vendedor 38;Fazenda Luz da Lua;Brasil;Caminhão;25/12/2022;3444
19132;29/05/2023;banana;600;Vendedor 19;Recanto Verde;Brasil;Caminhão;06/06/2023;2146
19133;12/05/2022;melancia;557;Vendedor 7;Fazenda Campo Sereno;Brasil;Trem;25/05/2022;1985
19134;24/03/2023;banana;156;Vendedor 48;Quinta dos Pinhais;Brasil;Caminhão;23/04/2023;816
19135;17/03/2023;maçã;956;Vendedor 16;Terra Prometida;Brasil;Avião;27/03/2023;0
19136;31/07/2023;uva;668;Vendedor 30;Refúgio do Vale;Brasil;Caminhão;22/08/2023;0
19137;29/01/2023;limão;798;Vendedor 17;Fazenda Luz da Lua;Brasil;Caminhão;11/02/2023;934
19138;25/07/2022;melancia;119;Vendedor 25;Fazenda Campo Sereno;Brasil;Caminhão;21/08/2022;356
19139;25/04/2023;limão;121;Vendedor 18;Fazenda Luz da Lua;Brasil;Avião;14/05/2023;2447
19140;29/05/2023;maçã;632;Vendedor 6;Chácara Bela Vista;Brasil;Caminhão;25/06/2023;0
19141;31/12/2023;banana;334;Vendedor 9;Quinta dos Pinhais;Brasil;Avião;09/01/2024;1647
19142;08/02/2022;laranja;831;Vendedor 2;Quinta dos Pinhais;Brasil;Avião;17/02/2022;1966
19143;20/09/2022;banana;124;Vendedor 3;Quinta dos Pinhais;Brasil;Barco;23/10/2022;0
19144;18/09/2022;laranja;807;Vendedor 35;Quinta dos Pinhais;Brasil;Barco;02/10/2022;1742
19145;12/02/2023;banana;319;Vendedor 33;Recanto Verde;Brasil;Caminhão;21/02/2023;1567
19146;27/09/2023;manga;883;Vendedor 30;Fazenda Sol Nascente;Brasil;Caminhão;01/11/2023;1050
19147;07/11/2022;laranja;487;Vendedor 50;Recanto Verde;Brasil;Barco;27/11/2022;1228
19148;26/04/2022;laranja;666;Vendedor 44;Quinta dos Pinhais;Brasil;Avião;02/05/2022;0
19149;30/03/2022;laranja;466;Vendedor 22;Recanto Verde;Brasil;Barco;21/04/2022;0
19150;26/07/2023;limão;676;Vendedor 24;Fazenda Luz da Lua;Brasil;Caminhão;16/08/2023;433
19151;29/12/2023;limão;242;Vendedor 11;Fazenda Luz da Lua;Brasil;Avião;31/01/2024;3620
19152;16/06/2022;maçã;228;Vendedor 9;Chácara Bela Vista;Brasil;Caminhão;18/07/2022;0
19153;23/08/2022;banana;133;Vendedor 44;Recanto Verde;Brasil;Avião;12/09/2022;2030
19154;16/06/2023;limão;542;Vendedor 42;Fazenda Luz da Lua;Brasil;Avião;04/07/2023;0
19155;10/03/2022;maçã;593;Vendedor 26;Chácara Bela Vista;Brasil;Caminhão;15/03/2022;2758
19156;25/02/2022;banana;752;Vendedor 34;Recanto Verde;Brasil;Avião;02/03/2022;0
19157;01/12/2022;manga;712;Vendedor 18;Fazenda Sol Nascente;Brasil;Barco;11/12/2022;150
19158;04/04/2023;limão;649;Vendedor 5;Fazenda Luz da Lua;Brasil;Barco;29/04/2023;3794
19159;16/08/2023;manga;875;Vendedor 1;Rancho Estrela Cadente;Brasil;Caminhão;05/09/2023;0
19160;31/01/2022;maçã;668;Vendedor 14;Terra Prometida;Brasil;Caminhão;05/03/2022;3341
19161;12/08/2022;banana;728;Vendedor 7;Quinta dos Pinhais;Brasil;Avião;05/09/2022;3285
19162;11/09/2022;laranja;842;Vendedor 31;Quinta dos Pinhais;Brasil;Avião;28/09/2022;2876
19163;28/08/2022;uva;29;Vendedor 20;Refúgio do Vale;Brasil;Avião;16/09/2022;3484
19164;16/04/2023;laranja;681;Vendedor 18;Recanto Verde;Brasil;Caminhão;12/05/2023;1128
19165;30/07/2023;banana;626;Vendedor 19;Recanto Verde;Brasil;Caminhão;03/09/2023;597
19166;17/05/2022;limão;321;Vendedor 14;Fazenda Luz da Lua;Brasil;Avião;19/06/2022;1762
19167;25/09/2023;laranja;247;Vendedor 48;Quinta dos Pinhais;Brasil;Avião;29/10/2023;2680
19168;22/11/2023;maçã;53;Vendedor 3;Terra Prometida;Brasil;Caminhão;01/12/2023;0
19169;11/06/2023;maçã;442;Vendedor 38;Chácara Bela Vista;Brasil;Caminhão;16/06/2023;4239
19170;08/10/2022;manga;270;Vendedor 47;Rancho Estrela Cadente;Brasil;Barco;12/11/2022;0
19171;06/04/2023;banana;153;Vendedor 27;Recanto Verde;Brasil;Barco;04/05/2023;2109
19172;26/05/2023;manga;489;Vendedor 7;Fazenda Sol Nascente;Brasil;Barco;20/06/2023;0
19173;10/10/2022;uva;989;Vendedor 11;Refúgio do Vale;Brasil;Avião;29/10/2022;0
19174;30/04/2022;uva;605;Vendedor 35;Refúgio do Vale;Brasil;Avião;28/05/2022;1378
19175;24/03/2023;laranja;684;Vendedor 4;Quinta dos Pinhais;Brasil;Trem;05/04/2023;130
19176;20/07/2022;limão;689;Vendedor 43;Fazenda Luz da Lua;Brasil;Caminhão;28/07/2022;82
19177;22/01/2022;limão;289;Vendedor 19;Fazenda Luz da Lua;Brasil;Avião;22/02/2022;0
19178;27/05/2023;limão;894;Vendedor 45;Fazenda Luz da Lua;Brasil;Caminhão;15/06/2023;2121
19179;09/12/2023;limão;781;Vendedor 36;Fazenda Luz da Lua;Brasil;Avião;07/01/2024;0
19180;06/05/2022;banana;609;Vendedor 26;Recanto Verde;Brasil;Caminhão;10/06/2022;3124
19181;27/08/2023;maçã;580;Vendedor 17;Chácara Bela Vista;Brasil;Avião;15/09/2023;1395
19182;24/12/2022;limão;544;Vendedor 44;Fazenda Luz da Lua;Brasil;Avião;15/01/2023;2726
19183;16/09/2023;banana;287;Vendedor 40;Recanto Verde;Brasil;Avião;09/10/2023;2556
19184;18/09/2023;laranja;212;Vendedor 19;Quinta dos Pinhais;Brasil;Caminhão;12/10/2023;644
19185;12/12/2022;limão;190;Vendedor 32;Fazenda Luz da Lua;Brasil;Caminhão;18/12/2022;0
19186;24/02/2023;uva;214;Vendedor 20;Refúgio do Vale;Brasil;Barco;04/03/2023;325
19187;27/07/2022;limão;560;Vendedor 28;Fazenda Luz da Lua;Brasil;Caminhão;03/08/2022;247
19188;14/05/2023;laranja;352;Vendedor 28;Quinta dos Pinhais;Brasil;Avião;19/05/2023;3614
19189;25/09/2022;manga;109;Vendedor 26;Rancho Estrela Cadente;Brasil;Caminhão;14/10/2022;2271
19190;28/02/2022;laranja;547;Vendedor 37;Quinta dos Pinhais;Brasil;Avião;19/03/2022;1680
19191;03/02/2023;banana;965;Vendedor 40;Quinta dos Pinhais;Brasil;Caminhão;24/02/2023;0
19192;26/03/2022;laranja;358;Vendedor 36;Quinta dos Pinhais;Brasil;Trem;09/04/2022;2050
19193;26/08/2023;manga;127;Vendedor 36;Rancho Estrela Cadente;Brasil;Caminhão;08/09/2023;3428
19194;12/07/2023;uva;386;Vendedor 18;Refúgio do Vale;Brasil;Avião;02/08/2023;4590
19195;11/06/2023;banana;215;Vendedor 17;Quinta dos Pinhais;Brasil;Caminhão;14/07/2023;2180
19196;06/08/2023;banana;816;Vendedor 29;Recanto Verde;Brasil;Caminhão;20/08/2023;0
19197;17/02/2023;banana;48;Vendedor 37;Recanto Verde;Brasil;Caminhão;07/03/2023;1419
19198;07/10/2022;banana;657;Vendedor 34;Quinta dos Pinhais;Brasil;Barco;06/11/2022;1388
19199;03/09/2022;limão;955;Vendedor 20;Fazenda Luz da Lua;Brasil;Caminhão;07/10/2022;0
19200;05/09/2022;limão;76;Vendedor 3;Fazenda Luz da Lua;Brasil;Trem;15/09/2022;450
19201;21/10/2023;laranja;215;Vendedor 2;Recanto Verde;Brasil;Avião;08/11/2023;1678
19202;13/10/2023;limão;456;Vendedor 14;Fazenda Luz da Lua;Brasil;Barco;22/10/2023;3273
19203;04/12/2023;manga;974;Vendedor 12;Fazenda Sol Nascente;Brasil;Barco;08/01/2024;699
19204;10/02/2022;limão;535;Vendedor 42;Fazenda Luz da Lua;Brasil;Avião;26/02/2022;1524
19205;11/03/2022;laranja;564;Vendedor 6;Quinta dos Pinhais;Brasil;Avião;17/03/2022;2950
19206;13/04/2022;maçã;816;Vendedor 40;Chácara Bela Vista;Brasil;Caminhão;27/04/2022;0
19207;11/02/2022;uva;262;Vendedor 12;Refúgio do Vale;Brasil;Barco;23/02/2022;1824
19208;24/12/2023;maçã;208;Vendedor 36;Chácara Bela Vista;Brasil;Caminhão;18/01/2024;2762
19209;24/06/2022;manga;52;Vendedor 26;Fazenda Sol Nascente;Brasil;Avião;14/07/2022;0
19210;28/12/2023;limão;80;Vendedor 33;Fazenda Luz da Lua;Brasil;Caminhão;14/01/2024;0
19211;22/05/2023;banana;473;Vendedor 34;Recanto Verde;Brasil;Caminhão;14/06/2023;288
19212;25/05/2022;manga;94;Vendedor 41;Rancho Estrela Cadente;Brasil;Avião;22/06/2022;3785
19213;06/06/2023;limão;311;Vendedor 44;Fazenda Luz da Lua;Brasil;Caminhão;03/07/2023;0
19214;30/12/2023;banana;522;Vendedor 6;Recanto Verde;Brasil;Avião;08/01/2024;2700
19215;24/04/2023;limão;30;Vendedor 43;Fazenda Luz da Lua;Brasil;Avião;20/05/2023;558
19216;30/11/2023;uva;412;Vendedor 19;Sítio Águas Claras;Brasil;Avião;11/12/2023;45
19217;19/07/2022;laranja;468;Vendedor 39;Recanto Verde;Brasil;Barco;02/08/2022;2108
